# Element name,atomic number,mass,b coeff
# b coeffs are from http://www.ncnr.nist.gov/resources/n-lengths/list.html
H,1,1.00794,-3.7390
D,1,2.014,6.671
He,2,4.002602,3.26
Li,3,6.941,-1.90
Be,4,9.012182,7.79
B,5,10.811,5.30-0.213j
C,6,12.0107,6.6460
N,7,14.00674,9.36
O,8,15.9994,5.803
F,9,18.9984032,5.654
Ne,10,20.1797,4.566
Na,11,22.989770,3.63
Mg,12,24.3050,5.375
Al,13,26.981538,3.449
Si,14,28.0855,4.1491
P,15,30.973761,5.13
S,16,32.066,2.847
Cl,17,35.4527,9.5770
Ar,18,39.948,1.909
K,19,39.0983,3.67
Ca,20,40.078,4.70
Sc,21,44.955910,12.29
Ti,22,47.867,-3.438
V,23,50.9415,-0.3824
Cr,24,51.9961,3.635
Mn,25,54.938049,-3.73
Fe,26,55.845,9.45
Co,27,58.933200,2.49
Ni,28,58.6934,10.3
Cu,29,63.546,7.718
Zn,30,65.39,5.680
Ga,31,69.723,7.288
Ge,32,72.61,8.185
As,33,74.92160,6.58
Se,34,78.96,7.970
Br,35,79.904,6.795
Kr,36,83.80,7.81
Rb,37,85.4678,7.09
Sr,38,87.62,7.02
Y,39,88.90585,7.75
Zr,40,91.224,7.16
Nb,41,92.90638,7.054
Mo,42,95.94,6.715
Tc,43,98,6.8
Ru,44,101.07,7.03
Rh,45,102.90550,5.88
Pd,46,106.42,5.91
Ag,47,107.8682,5.922
Cd,48,112.411,4.87-0.70j
In,49,114.818,4.065-0.0539j
Sn,50,118.710,6.225
Sb,51,121.760,5.57
Te,52,127.60,5.80
I,53,126.90447,5.28
Xe,54,131.29,4.92
Cs,55,132.90545,5.42
Ba,56,137.327,5.07
La,57,138.9055,8.24
Ce,58,140.116,4.84
Pr,59,140.90765,4.58
Nd,60,144.24,7.69
Pm,61,145,12.6
Sm,62,150.36,0.80-1.65j
Eu,63,151.964,7.22-1.26j
Gd,64,157.25,6.5-13.82j
Tb,65,158.92534,7.38
Dy,66,162.50,16.9-0.276j
Ho,67,164.93032,8.01
Er,68,167.26,7.79
Tm,69,168.93421,7.07
Yb,70,173.04,12.43
Lu,71,174.967,7.21
Hf,72,178.49,7.7
Ta,73,180.9479,6.91
W,74,183.84,4.86
Re,75,186.207,9.2
Os,76,190.23,10.7
Ir,77,192.217,10.6
Pt,78,195.078,9.60
Au,79,196.96655,7.63
Hg,80,200.59,12.692
Tl,81,204.3833,8.776
Pb,82,207.2,9.405
Bi,83,208.98038,8.532
Po,84,209,
At,85,210,
Rn,86,222,
Fr,87,223,
Ra,88,226,10.0
Ac,89,227,
Th,90,232.0381,10.31
Pa,91,231.03588,9.1
U,92,238.0289,8.417
Np,93,237,10.55
Pu,94,244,
Am,95,243,8.3
Cm,96,247,
Bk,97,247,
Cf,98,251,
Es,99,252,
Fm,100,257,
Md,101,258,
No,102,259,
Lr,103,262,
Rf,104,261,
Db,105,262,
Sg,106,263,
Bh,107,262,
Hs,108,265,
Mt,109,266,
